#,Company Name,Services / Specialization,Website,first name,last name,EMAIL,Notes,phone number
1,Artefact,"Performance marketing, data analytics",artefact.com,,,,,
2,iProspect France,"Paid media, SEO, analytics",iprospect.com,,,,,
3,Havas Media France,"Media planning, buying, analytics",havasmedia.com,,,,,
4,Publicis Media France,"Performance media, analytics",publicismedia.com,,,,,
5,Dentsu France,"Media buying, data analytics",dentsu.com,,,,,
6,GroupM France,"Media investment, analytics",groupm.com,,,,,
7,Wavemaker France,"Media, data analytics",wavemakerglobal.com,,,,,
8,Mindshare France,"Media planning, analytics",mindshareworld.com,,,,,
9,OMD France,"Media buying, analytics",omduk.com,,,,,
10,Carat France,"Media strategy, analytics",carat.com,,,,,
11,Zenith France,"Performance marketing, analytics",zenithmedia.com,,,,,
12,Starcom France,"Media planning, analytics",starcomww.com,,,,,
13,PHD France,"Media strategy, analytics",phdmedia.com,,,,,
14,Vizeum France,"Digital media, analytics",vizeum.com,,,,,
15,Performics France,"Performance marketing, analytics",performics.com,,,,,
16,Ekimetrics,"Data science, marketing analytics",ekimetrics.com,,,,,
17,Quinten,"AI, predictive marketing analytics",quinten.fr,,,,,
18,Converteo,"Digital analytics, performance marketing",converteo.com,,,,,
19,Fifty-Five,"Digital analytics, data strategy",fifty-five.com,,,,,
20,Contentsquare,Digital experience analytics,contentsquare.com,,,,,
21,Commanders Act,"Marketing data platform, analytics",commandersact.com,,,,,
22,AT Internet,Digital analytics platform,atinternet.com,,,,,
23,Matomo,Web analytics platform,matomo.org,,,,,
24,Piano Analytics,"Digital analytics, personalization",piano.io,,,,,
25,Eulerian Technologies,"Ad tracking, analytics",eulerian.com,,,,,
26,Effiliation,"Affiliate marketing, analytics",effiliation.com,,,,,
27,NetBooster,"Performance marketing, analytics",netbooster.com,,,,,
28,iCommunity,"Performance marketing, media",icommunity.fr,,,,,
29,Webedia,"Digital media, advertising, analytics",webedia.fr,,,,,
30,Teads,"Programmatic advertising, analytics",teads.com,,,,,
31,Smart AdServer,"Ad serving, programmatic, analytics",smartadserver.com,,,,,
32,Criteo,"Retargeting, performance marketing",criteo.com,,,,,
33,Ogury,"Mobile advertising, analytics",ogury.com,,,,,
34,S4M,"Mobile advertising, analytics",s4m.io,,,,,
35,Digital Virgo,"Mobile marketing, data",digitalvirgo.com,,,,,
36,Tradelab,"Programmatic advertising, analytics",tradelab.fr,,,,,
37,Adot,"Programmatic, data analytics",adot.ai,,,,,
38,Gamned!,"Programmatic media buying, analytics",gamned.com,,,,,
39,Adikteev,"App retargeting, performance marketing",adikteev.com,,,,,
40,Numberly,"Data marketing, analytics",numberly.com,,,,,
41,Emakina,"Digital marketing, analytics",emakina.com,,,,,
42,SQLI,"Digital advertising, analytics",sqli.com,,,,,
43,Valtech France,"Digital marketing, analytics",valtech.com,,,,,
44,Business & Decision,"Data analytics, marketing intelligence",businessdecision.com,,,,,
45,CGI France,"Data, performance marketing",cgi.com,,,,,
46,Capgemini France,"Digital marketing, analytics",capgemini.com,,,,,
47,Accenture France,"Marketing analytics, paid media",accenture.com,,,,,
48,Wavestone,"Marketing data, analytics consulting",wavestone.com,,,,,
49,Deloitte Digital France,"Performance marketing, analytics",deloitte.com,,,,,
50,Mazars Digital,"Marketing data, analytics",mazars.fr,,,,,
51,1000mercis,"Data marketing, CRM analytics",1000mercis.com,,,,,
52,Keyade,"Performance marketing, search, social",keyade.com,,,,,
53,iCrossing France,"Digital marketing, analytics",icrossing.com,,,,,
54,Reprise France,"Paid media, analytics",reprisedigital.com,,,,,
55,Digitas France,"Data-driven marketing, media",digitas.com,,,,,
56,TBWA\Digital Arts,"Digital advertising, analytics",tbwa.com,,,,,
57,DDB Paris,"Creative advertising, analytics",ddb.com,,,,,
58,Ogilvy France,"Integrated marketing, analytics",ogilvy.com,,,,,
59,Leo Burnett France,"Advertising, media, analytics",leoburnett.com,,,,,
60,FCB France,"Integrated advertising, data",fcb.com,,,,,
61,BBDO France,"Advertising, performance, analytics",bbdo.com,,,,,
62,Grey France,Data-driven advertising,grey.com,,,,,
63,McCann France,"Integrated advertising, analytics",mccann.com,,,,,
64,Saatchi & Saatchi France,"Advertising, media, analytics",saatchi.com,,,,,
65,Mediabrands France,"Media buying, analytics",ipgmediabrands.com,,,,,
66,Spark Foundry France,"Media strategy, analytics",sparkfoundry.com,,,,,
67,Initiative France,"Performance media, analytics",initiative.com,,,,,
68,UM France,"Media planning, analytics",umww.com,,,,,
69,Soda,"Performance marketing, analytics",sodaagency.com,,,,,
70,Digital Insiders,"Paid media, analytics",digitalinsiders.fr,,,,,
71,Additi,"Digital marketing, analytics",additi.fr,,,,,
72,Surikat,"Performance marketing, Google, Meta",surikat.fr,,,,,
73,AdUX,"Digital advertising, analytics",adux.com,,,,,
74,Efficy CRM,CRM & marketing analytics,efficy.com,,,,,
75,Daxio,"Paid media, analytics",daxio.fr,,,,,
76,Mediasquare,"Programmatic, analytics",mediasquare.fr,,,,,
77,Relevantz,"Performance marketing, analytics",relevantz.com,,,,,
78,Neteven,"E-commerce advertising, analytics",neteven.com,,,,,
79,Kwanko,"Affiliate marketing, analytics",kwanko.com,,,,,
80,Awin France,"Affiliate, performance marketing",awin.com,,,,,
81,Conversant France,"Personalized advertising, analytics",conversant.com,,,,,
82,Bango,"Digital advertising, data analytics",bango.com,,,,,
83,Solocal,"Local digital advertising, analytics",solocal.com,,,,,
84,Solutis,"Digital advertising, analytics",solutis.fr,,,,,
85,Hub One,"Digital advertising, data",hubone.fr,,,,,
86,Prisma Media Solutions,"Digital advertising, analytics",prismamediasolutions.com,,,,,
87,Figaro Medias,"Digital advertising, analytics",lefigaro.fr,,,,,
88,M6 Publicité,"TV & digital advertising, analytics",m6.fr,,,,,
89,TF1 Pub,"TV & digital advertising, analytics",tf1pub.fr,,,,,
90,France Télévisions Publicité,"Media buying, analytics",francetelevisions.fr,,,,,
91,Orange Advertising,"Digital advertising, data",advertising.orange.com,,,,,
92,SFR Régie,"Digital advertising, analytics",sfr.fr,,,,,
93,GroupOne,"Performance marketing, analytics",groupone.fr,,,,,
94,Brainsonic,"Digital marketing, analytics",brainsonic.com,,,,,
95,Labelium,"Performance marketing, analytics",labelium.com,,,,,
96,Vanksen,"Social media advertising, analytics",vanksen.com,,,,,
97,Business Laboratory,"Data analytics, performance marketing",businesslaboratory.fr,,,,,
98,Objectif Web,"Paid media, analytics",objectifweb.fr,,,,,
